S/N,Normal,OT,Present,Meal Deduction,Night Meal,Paid Leave,NORMAL RATE ,OT RATE,Night Meal Rate,Paid Leave Rate,SOC COST,TOTAL EARNINGS AND MEAL,SERVICE CHARGE,VAT 7.5%,TOTAL INVOICE,Meal Deduction_1
1,143,77,20,18,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,900
2,143,77,20,20,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,1000
3,141.97,66,20,20,18,,26619.375,13148.52,5850,0,3500,49117.895,4175.021075,313.1265806,53606.04266,1000
4,160,60,20,20,20,,30000,11953.2,6500,0,3500,51953.2,4416.022,331.20165,56700.42365,1000
5,132,77,19,18,18,,24750,15339.94,5850,0,3500,49439.94,4202.3949,315.1796175,53957.51452,900
6,160,60,21,20,20,,30000,11953.2,6500,0,3500,51953.2,4416.022,331.20165,56700.42365,1000
7,160,58.8,20,20,20,,30000,11714.136,6500,0,3500,51714.136,4395.70156,329.677617,56439.51518,1000
8,160,60,20,20,20,,30000,11953.2,6500,0,3500,51953.2,4416.022,331.20165,56700.42365,1000
9,143,77,20,20,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,1000
10,160,37.92,18,20,16,,30000,7554.4224,5200,0,3500,46254.4224,3931.625904,294.8719428,50480.92025,1000
11,123.48,66,18,18,18,,23152.5,13148.52,5850,0,3500,45651.02,3880.3367,291.0252525,49822.38195,900
12,143,44,17,14,20,,26812.5,8765.68,6500,0,3500,45578.18,3874.1453,290.5608975,49742.8862,700
13,160,84,24,26,0,,30000,16734.48,0,0,3500,50234.48,4269.9308,320.24481,54824.65561,1300
14,160,49,19,18,20,,30000,9761.78,6500,0,3500,49761.78,4229.7513,317.2313475,54308.76265,900
15,143,55,18,18,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,900
16,143,77,21,20,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,1000
17,151.48,44,19,20,16,,28402.5,8765.68,5200,0,3500,45868.18,3898.7953,292.4096475,50059.38495,1000
18,215,60,19,16,24,,40312.5,11953.2,7800,0,3500,63565.7,5403.0845,405.2313375,69374.01584,800
19,132,77,19,20,18,,24750,15339.94,5850,0,3500,49439.94,4202.3949,315.1796175,53957.51452,1000
20,143,77,21,20,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,1000
21,143,77,20,20,20,80,26812.5,15339.94,6500,15000,3500,67152.44,5707.9574,428.096805,73288.49421,1000
22,143,77,20,18,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,900
23,128.15,64.17,18,18,20,,24028.125,12783.9474,6500,0,3500,46812.0724,3979.026154,298.4269616,51089.52552,900
24,132,77,19,18,20,,24750,15339.94,6500,0,3500,50089.94,4257.6449,319.3233675,54666.90827,900
25,143,77,20,20,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,1000
26,160,61,21,18,22,,30000,12152.42,7150,0,3500,52802.42,4488.2057,336.6154275,57627.24113,900
27,143,66,19,18,18,,26812.5,13148.52,5850,0,3500,49311.02,4191.4367,314.3577525,53816.81445,900
28,160,59.6,20,20,20,,30000,11873.512,6500,0,3500,51873.512,4409.24852,330.693639,56613.45416,1000
29,154,22,16,16,16,,28875,4382.84,5200,0,3500,41957.84,3566.4164,267.48123,45791.73763,800
30,143,77,20,20,20,80,26812.5,15339.94,6500,15000,3500,67152.44,5707.9574,428.096805,73288.49421,1000
31,154,27.92,18,16,18,,28875,5562.2224,5850,0,3500,43787.2224,3721.913904,279.1435428,47788.27985,800
32,121,44,15,14,14,,22687.5,8765.68,4550,0,3500,39503.18,3357.7703,251.8327725,43112.78307,700
33,141.92,77,20,20,20,,26610,15339.94,6500,0,3500,51949.94,4415.7449,331.1808675,56696.86577,1000
34,160,49,19,18,20,,30000,9761.78,6500,0,3500,49761.78,4229.7513,317.2313475,54308.76265,900
35,160,49,19,18,20,,30000,9761.78,6500,0,3500,49761.78,4229.7513,317.2313475,54308.76265,900
36,143,77,20,20,20,,26812.5,15339.94,6500,0,3500,52152.44,4432.9574,332.471805,56917.86921,1000
37,132,44,16,16,16,,24750,8765.68,5200,0,3500,42215.68,3588.3328,269.12496,46073.13776,800
38,160,60,20,20,20,,30000,11953.2,6500,0,3500,51953.2,4416.022,331.20165,56700.42365,1000
39,160,49,19,20,18,,30000,9761.78,5850,0,3500,49111.78,4174.5013,313.0875975,53599.3689,1000
40,160,60,20,20,20,,30000,11953.2,6500,0,3500,51953.2,4416.022,331.20165,56700.42365,1000
41,160,47.87,20,18,20,,30000,9536.6614,6500,0,3500,49536.6614,4210.616219,315.7962164,54063.07384,900
42,160,49,19,18,20,,30000,9761.78,6500,0,3500,49761.78,4229.7513,317.2313475,54308.76265,900
43,160,49,19,18,20,,30000,9761.78,6500,0,3500,49761.78,4229.7513,317.2313475,54308.76265,900
44,160,60,20,20,20,,30000,11953.2,6500,0,3500,51953.2,4416.022,331.20165,56700.42365,1000
45,160,49,20,20,18,,30000,9761.78,5850,0,3500,49111.78,4174.5013,313.0875975,53599.3689,1000
46,160,47.98,19,18,20,,30000,9558.5756,6500,0,3500,49558.5756,4212.478926,315.9359195,54086.99045,900
47,171,70.22,21,20,20,80,32062.5,13989.2284,6500,15000,3500,71051.7284,6039.396914,452.9547686,77544.08008,1000
48,77,44,11,14,10,,14437.5,8765.68,3250,0,3500,29953.18,2546.0203,190.9515225,32690.15182,700
